department,process_volume_monthly,manual_hours_monthly,data_quality_score,implementation_months,technical_complexity,employee_impact_score,budget_required_k,estimated_roi_percent,ai_project_success
Operations,13496,1786,50,4,2,4,1570,89.9,0
HR,3371,1352,76,9,10,7,344,82.5,0
Customer Service,46502,1674,61,13,9,4,480,90.3,1
Operations,23126,1311,97,18,10,3,198,101,0
HR,11021,964,43,15,6,6,863,66.7,0
Customer Service,43910,1828,68,10,7,4,593,118,1
Customer Service,1632,1107,83,16,10,3,138,27.8,0
Operations,33967,829,73,12,8,9,1512,58.4,1
Risk,15034,1393,52,5,10,5,568,96.2,0
Risk,24354,944,81,2,1,7,665,72.2,0
Customer Service,43498,1958,48,10,8,6,1498,125,1
Risk,39565,513,81,1,4,10,45,80,1
Sales,46107,1566,70,7,10,5,1533,62.4,1
Customer Service,8312,1141,46,17,8,7,1051,63.7,0
Customer Service,5057,1989,43,16,6,6,988,99.2,0
HR,2679,1114,58,3,9,10,1559,60.5,0
Risk,44298,383,81,14,4,2,552,54.6,1
Customer Service,9565,589,69,10,2,3,1970,14.8,0
Sales,8775,1845,70,7,2,2,168,139.8,0
HR,48357,782,74,17,5,3,1531,67.6,1
Operations,36448,295,96,6,10,1,1068,18.3,1
Customer Service,21200,69,60,4,9,8,674,23.8,0
Sales,39964,1401,100,17,3,6,1800,64.3,1
Finance,42851,747,70,9,8,2,1974,39.6,1
Sales,28294,925,58,4,4,8,964,56.1,1
Sales,29283,947,70,7,6,6,574,54.6,1
HR,17498,583,92,2,10,7,444,45.8,0
Operations,14369,802,71,17,6,1,312,54.3,0
Finance,45025,504,41,8,3,7,1228,44.9,1
Risk,28652,1127,98,15,5,3,573,80.5,1
Risk,21454,1942,91,15,3,8,450,167.1,0
Sales,32055,1848,49,8,1,6,623,125.6,1
HR,17154,1681,41,16,7,4,336,92.9,0
HR,45526,1851,41,11,4,8,417,110.2,1
Risk,35736,603,99,2,7,9,1367,64.7,1
Finance,47476,1339,63,17,3,10,1608,91,1
Operations,15542,255,56,16,5,2,615,12.1,0
Finance,26466,75,71,15,5,6,565,54.1,1
Customer Service,48907,1962,55,13,2,5,95,152.6,1
Customer Service,44814,379,55,15,10,5,884,32.7,1
Operations,45595,1950,85,4,2,10,1963,105.5,1
Risk,14770,129,78,16,4,3,935,10.1,0
Operations,31408,211,92,12,4,8,728,36.5,1
HR,16023,923,70,4,4,8,505,49.9,0
Customer Service,47568,1136,82,3,6,5,1841,73.1,1
Sales,20491,881,63,17,2,8,1131,88,0
Sales,11275,587,40,18,6,10,766,18.4,0
Risk,12765,1103,50,18,7,8,1275,56.5,0
HR,19959,669,94,17,10,3,1050,52,0
Finance,17173,58,60,12,3,2,1847,-14,0
HR,27556,1583,43,4,8,9,569,77.2,1
Sales,7114,1092,46,12,2,2,995,80.7,0
Sales,36520,1463,65,15,8,9,1095,91.5,1
Customer Service,7915,656,86,16,5,4,1698,32,0
HR,23655,1056,89,5,2,2,961,71.9,0
HR,49930,55,51,15,7,10,938,14.5,1
Sales,44384,120,70,17,2,1,1439,56.9,1
Finance,17464,1837,56,18,6,4,1264,124.2,0
Risk,38226,1129,72,5,10,9,1471,69.2,1
Risk,37544,1559,50,13,3,9,1795,72,1
HR,38044,1266,67,13,9,4,1186,76.3,1
Risk,32752,1381,71,18,3,9,1904,69.3,1
Sales,4332,185,40,14,3,6,382,47.7,0
Sales,25775,402,86,4,5,1,401,48.8,1
