age,gender,years_experience,highest_education,technical_test_score,interview_rating,communication_assessment,leadership_assessment,expected_salary_gbp,previous_job_tenure_years,hired,manager_satisfaction_after_one_year,sales_achieved_after_one_year_gbp,retained_after_one_year
46,Female,12.7,High School,67,8.4,5,3.9,60000,2.5,Yes,7.7,132000,No
41,Male,12.1,Bachelor's,41,8.2,3.7,4.8,44500,3.6,Yes,7.2,103200,Yes
40,Female,12.5,Bachelor's,69,8,8.2,5.6,55500,1.6,Yes,10,157000,Yes
38,Female,11.4,High School,61,7.7,5.5,7.8,57000,2.5,Yes,6.8,116200,Yes
27,Male,3.9,Diploma,59,7.7,6.6,7.3,37500,1.3,Yes,5.4,50000,Yes
48,Female,10.8,Diploma,89,7.5,7.6,6.8,54000,1.3,Yes,7.6,115400,Yes
32,Female,3.8,Diploma,86,8.2,8.7,6.9,50000,0.4,Yes,8.1,129800,Yes
39,Female,16.6,Diploma,73,6,4.6,6,54500,2.1,No,,,
34,Non-binary,6,Bachelor's,47,6.6,5.9,7.7,50000,5.3,No,,,
43,Female,7.9,Bachelor's,86,7,6.7,8.7,55500,2.6,No,,,
30,Male,4,High School,82,7.7,8.1,6.3,36500,2.5,Yes,7,130300,Yes
38,Female,8.4,Diploma,76,5.9,7,6.7,55000,0.2,No,,,
42,Female,7.1,Bachelor's,55,6.2,5.5,7,49000,1.9,No,,,
36,Male,9.7,Master's,60,9.7,6.5,6.4,49500,2.3,Yes,8.3,108700,Yes
40,Male,11.5,Bachelor's,65,6.4,3.3,6.9,48000,2.2,No,,,
31,Female,4.3,High School,65,8.4,6,5.6,38500,0.2,No,,,
29,Female,2.1,Master's,78,7.7,6.6,4.3,44000,0.6,No,,,
25,Female,3.5,Bachelor's,82,6.4,5,6.4,35500,3.5,No,,,
38,Female,8.8,Master's,64,7.3,8.7,4.7,54000,2.4,Yes,6.3,91700,No
32,Female,1.6,Master's,42,5.6,5.8,4.6,30500,0.2,No,,,
49,Female,15.4,Diploma,84,5.7,2,4.1,61000,3.4,No,,,
36,Male,8.8,Diploma,78,7.5,3.9,5.9,53000,3.9,Yes,8.6,111200,No
28,Female,1.1,Diploma,49,7.6,10,7.7,35000,3.4,Yes,7.2,120800,Yes
35,Male,5.4,Bachelor's,50,4.8,6.3,6.2,40500,2.3,Yes,6.6,99600,Yes
36,Male,7.3,Bachelor's,69,7.9,6.6,5.8,49500,0.7,No,,,
23,Non-binary,4.6,Bachelor's,98,8.4,5.4,7.7,43500,4.2,Yes,4.3,83100,Yes
45,Female,9.7,Bachelor's,92,7.8,5.4,6.1,56000,1.5,Yes,8.6,135600,Yes
37,Female,8.2,Bachelor's,71,8.6,4.9,3.4,44500,1.9,No,,,
42,Female,12.2,Bachelor's,93,7.7,6.1,8.5,54000,1.3,Yes,8.6,111600,No
30,Male,8,Master's,76,6.5,5.9,3.8,44000,5.7,No,,,
32,Male,4.2,Bachelor's,61,8.4,5.8,4.9,43000,2.6,Yes,8.1,109000,Yes
41,Female,9.4,Diploma,54,5.8,4.5,6.1,38500,3.3,No,,,
31,Male,10.5,Bachelor's,86,7,8.3,8.4,58000,1.3,Yes,9.8,135200,Yes
42,Female,11.1,Bachelor's,77,8.3,6.9,7.9,56500,2.2,No,,,
49,Male,12.6,Diploma,64,5.7,5.1,6.1,55000,1.2,No,,,
30,Female,4.3,Master's,74,6.9,6.5,7.7,42500,0.2,No,,,
30,Male,5.7,Diploma,56,7.8,6.3,5.7,37500,1.6,Yes,8.5,117100,Yes
